Unnamed: 0,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK,Rookie Season
8,Davion Mitchell,SAC,23,53,20,33,1376.1,551,226,557,40.6,75,230,32.6,24,43,55.8,30,95,125,183,64,38,17,100,1077,0,0,-104,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-22
9,Jalen Suggs,ORL,21,39,10,29,1099.7,492,172,469,36.7,37,162,22.8,111,143,77.6,25,121,146,170,118,49,16,117,999,1,0,-197,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-22
10,Cam Thomas,BKN,20,48,21,27,938.5,470,183,411,44.5,41,150,27.3,63,78,80.8,10,115,125,62,40,26,7,47,772,0,0,-55,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-22
11,Alperen Sengun,HOU,19,50,13,37,937.4,437,154,320,48.1,18,65,27.7,111,159,69.8,84,156,240,125,102,40,47,144,1072,3,0,-211,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-22
12,Bones Hyland,DEN,21,46,27,19,829.4,403,136,369,36.9,79,228,34.6,52,59,88.1,8,118,126,93,57,22,13,98,742,1,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-22
13,Tre Mann,OKC,21,45,14,31,897.9,390,143,373,38.3,62,170,36.5,42,56,75.0,14,86,100,45,37,30,9,75,658,0,0,-114,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-22
14,Jonathan Kuminga,GSW,19,47,33,14,679.8,374,137,268,51.1,28,87,32.2,72,110,65.5,28,104,132,33,43,18,11,88,626,1,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-22
15,Josh Christopher,HOU,20,50,13,37,826.6,370,140,310,45.2,39,121,32.2,51,66,77.3,37,70,107,87,70,42,7,55,706,0,0,-178,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-22
16,Corey Kispert,WAS,23,53,23,30,1051.5,360,132,307,43.0,58,180,32.2,38,43,88.4,37,98,135,50,31,19,13,51,662,0,0,76,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-22
17,Ziaire Williams,MEM,20,40,26,14,861.0,291,115,261,44.1,42,148,28.4,19,25,76.0,11,60,71,35,23,22,7,79,493,0,0,33,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-22
18,Quentin Grimes,NYK,22,39,17,22,696.3,253,88,209,42.1,66,166,39.8,11,17,64.7,22,55,77,38,25,26,10,60,485,0,0,-53,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-22
19,Day'Ron Sharpe,BKN,20,30,12,18,373.1,182,80,140,57.1,1,4,25.0,21,37,56.8,78,74,152,15,29,10,15,60,433,2,0,59,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-22
20,Trey Murphy III,NOP,22,41,18,23,518.7,160,50,148,33.8,36,107,33.6,24,28,85.7,28,60,88,20,12,12,6,39,338,0,0,-27,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-22
21,Joshua Primo,SAS,19,30,13,17,476.2,147,52,141,36.9,24,75,32.0,19,25,76.0,18,34,52,42,28,11,15,36,322,0,0,-44,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-22
22,James Bouknight,CHA,21,28,13,15,295.7,140,48,136,35.3,17,49,34.7,27,31,87.1,21,27,48,23,13,7,1,28,243,0,0,-46,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-22
23,Isaiah Jackson,IND,20,20,6,14,192.7,115,45,83,54.2,3,7,42.9,22,33,66.7,24,31,55,7,11,11,15,37,259,1,0,-22,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-22
24,Moses Moody,GSW,20,34,26,8,321.7,109,38,101,37.6,19,62,30.6,14,17,82.4,8,38,46,11,7,3,6,24,201,0,0,-39,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-22
25,Santi Aldama,MEM,21,27,17,10,276.6,90,37,97,38.1,4,39,10.3,12,20,60.0,23,41,64,14,9,2,7,27,206,1,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-22
26,Keon Johnson,POR,20,15,6,9,134.6,53,17,51,33.3,3,11,27.3,16,21,76.2,6,15,21,13,7,7,2,21,118,0,0,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-22
27,Leandro Bolmaro,MIN,21,25,13,12,187.7,28,9,32,28.1,2,12,16.7,8,9,88.9,15,20,35,11,12,5,0,21,90,0,0,-35,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-22
28,Jalen Johnson,ATL,20,14,9,5,64.5,25,9,20,45.0,3,8,37.5,4,6,66.7,0,16,16,1,3,0,1,3,46,0,0,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-22
29,Usman Garuba,HOU,20,15,2,13,104.7,19,8,24,33.3,2,13,15.4,1,2,50.0,9,25,34,8,3,7,6,9,108,0,0,39,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-22
30,Kai Jones,CHA,21,17,11,6,47.6,16,7,11,63.6,1,2,50.0,1,4,25.0,2,6,8,4,5,0,0,5,27,0,0,-13,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-22
31,Jaden Springer,PHI,19,2,2,0,5.6,2,1,1,100.0,0,0,0.0,0,0,0.0,1,1,2,0,1,0,2,0,9,0,0,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-22
1,Bennedict Mathurin,IND,21,60,26,34,1692.7,1033,327,763,42.9,83,260,31.9,296,357,82.9,66,180,246,85,110,36,6,121,1472,0,0,-96,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-23
1,Paolo Banchero,ORL,20,52,21,31,1754.4,1033,338,807,41.9,61,217,28.1,296,393,75.3,61,284,345,187,141,49,25,118,1809,10,0,-167,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-23
3,Jaden Ivey,DET,21,55,15,40,1653.1,838,285,678,42.0,76,229,33.2,192,265,72.5,55,162,217,253,156,51,13,172,1514,4,0,-424,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-23
4,Jabari Smith Jr.,HOU,20,55,12,43,1646.2,660,232,596,38.9,88,290,30.3,108,136,79.4,71,316,387,65,81,28,53,163,1384,8,0,-393,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-23
5,Keegan Murray,SAC,22,55,31,24,1624.6,653,233,527,44.2,137,330,41.5,50,63,79.4,61,192,253,59,49,40,29,105,1203,3,0,75,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-23
6,Jalen Williams,OKC,22,53,26,27,1539.3,646,259,510,50.8,46,142,32.4,82,108,75.9,48,171,219,153,83,66,29,135,1340,1,0,-34,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-23
7,AJ Griffin,ATL,19,55,25,30,1122.3,514,203,426,47.7,82,208,39.4,26,30,86.7,25,89,114,55,33,38,7,67,835,0,0,-14,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-23
8,Tari Eason,HOU,22,58,13,45,1124.5,502,194,437,44.4,39,113,34.5,75,99,75.8,128,192,320,55,62,61,33,127,1189,4,0,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-23
9,Jeremy Sochan,SAS,20,48,11,37,1242.1,479,195,435,44.8,28,107,26.2,61,88,69.3,81,155,236,121,83,36,22,122,1035,0,0,-237,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-23
10,Walker Kessler,UTA,21,57,27,30,1211.7,468,203,285,71.2,0,0,0.0,62,114,54.4,166,271,437,43,46,23,117,129,1431,12,0,41,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-23
11,Shaedon Sharpe,POR,20,57,27,30,1156.6,451,181,378,47.9,57,160,35.6,32,48,66.7,44,101,145,37,37,21,14,91,749,0,0,-60,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-23
12,Jalen Duren,DET,19,51,14,37,1282.5,441,186,285,65.3,0,1,0.0,69,113,61.1,170,276,446,55,61,31,46,136,1229,12,0,-209,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-23
13,Malaki Branham,SAS,20,45,8,37,989.2,409,161,362,44.5,52,165,31.5,35,45,77.8,15,81,96,87,47,24,6,74,698,0,0,-254,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-23
14,David Roddy,MEM,22,46,29,17,816.6,291,111,265,41.9,39,133,29.3,30,48,62.5,31,92,123,30,43,23,12,70,546,0,0,-55,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-23
15,Christian Braun,DEN,22,54,38,16,834.3,237,96,194,49.5,23,62,37.1,22,37,59.5,37,91,128,42,24,26,11,68,541,0,0,-77,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-23
16,Mark Williams,CHA,21,29,10,19,460.6,220,87,138,63.0,0,0,0.0,46,63,73.0,49,113,162,8,22,21,34,61,569,3,0,-54,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-23
17,MarJon Beauchamp,MIL,22,38,25,13,563.2,219,80,201,39.8,38,118,32.2,21,29,72.4,34,56,90,26,36,18,4,58,396,0,0,-62,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-23
18,Dyson Daniels,NOP,20,39,21,18,777.8,176,69,155,44.5,20,60,33.3,18,29,62.1,28,110,138,96,43,34,10,75,575,0,0,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-23
19,Ochai Agbaji,UTA,23,37,21,16,557.2,169,64,130,49.2,31,78,39.7,10,16,62.5,24,38,62,18,11,5,4,52,286,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-23
20,Jake LaRavia,MEM,21,30,20,10,381.4,96,34,86,39.5,21,62,33.9,7,9,77.8,16,43,59,21,18,12,4,47,228,0,0,-65,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-23
21,TyTy Washington Jr.,HOU,21,23,3,20,291.8,95,40,111,36.0,9,50,18.0,6,11,54.5,2,29,31,33,9,9,1,26,203,0,0,-50,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-23
22,Nikola Jovic,MIA,20,15,7,8,204.5,82,28,69,40.6,8,35,22.9,18,19,94.7,9,22,31,10,10,7,2,19,151,0,0,-16,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-23
23,Patrick Baldwin,GSW,20,16,5,11,129.3,80,27,62,43.5,22,49,44.9,4,6,66.7,0,21,21,3,7,6,1,7,124,0,0,-57,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-23
24,Ousmane Dieng,OKC,20,19,8,11,284.4,79,32,77,41.6,13,45,28.9,2,5,40.0,8,41,49,26,12,5,6,22,198,0,0,-25,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-23
25,Blake Wesley,SAS,20,15,2,13,195.9,63,25,66,37.9,7,19,36.8,6,11,54.5,2,18,20,20,20,5,1,28,115,0,0,-68,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-23
26,Wendell Moore Jr.,MIN,21,24,13,11,139.3,36,15,37,40.5,2,16,12.5,4,5,80.0,2,14,16,16,8,6,5,13,104,0,0,-49,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-23
27,Dalen Terry,CHI,20,23,11,12,114.6,35,15,37,40.5,2,12,16.7,3,6,50.0,7,10,17,14,6,4,4,9,94,0,0,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-23
28,Peyton Watson,DEN,20,12,8,4,37.9,19,9,17,52.9,1,2,50.0,0,2,0.0,3,5,8,1,2,0,1,2,31,0,0,-40,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-23
29,Johnny Davis,WAS,21,13,6,7,61.5,16,6,18,33.3,1,4,25.0,3,3,100.0,1,7,8,2,2,1,1,13,33,0,0,-24,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-23
